"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 04 20:24:36 MSK 2023","Sun Jun 04 20:24:43 MSK 2023","6657","","HomePageTest","","HomePageTest","sauseTest[1]","Тест соусов",""
"passed","Sun Jun 04 20:25:06 MSK 2023","Sun Jun 04 20:25:19 MSK 2023","12781","","PersonalAccountTest","","PersonalAccountTest","exitSignInTest[1]","Тест выхода из аккаунта",""
"passed","Sun Jun 04 20:25:26 MSK 2023","Sun Jun 04 20:25:34 MSK 2023","7744","","PersonalAccountTest","","PersonalAccountTest","crossOverConstructorTest[1]","Тест перехода из ЛК в конструктор ",""
"passed","Sun Jun 04 20:24:01 MSK 2023","Sun Jun 04 20:24:13 MSK 2023","11422","","HomePageTest","","HomePageTest","bunsTest[0]","Тест булок",""
"passed","Sun Jun 04 20:24:24 MSK 2023","Sun Jun 04 20:24:36 MSK 2023","11557","","HomePageTest","","HomePageTest","bunsTest[1]","Тест булок",""
"passed","Sun Jun 04 20:25:01 MSK 2023","Sun Jun 04 20:25:06 MSK 2023","4622","","PersonalAccountTest","","PersonalAccountTest","crossOverConstructorTest[0]","Тест перехода из ЛК в конструктор ",""
"passed","Sun Jun 04 20:25:34 MSK 2023","Sun Jun 04 20:25:38 MSK 2023","3853","","RegistrationTest","","RegistrationTest","registrationWithErrorPassTest[0]","Тест регистрации c некорректный паролем",""
"passed","Sun Jun 04 20:24:18 MSK 2023","Sun Jun 04 20:24:24 MSK 2023","6803","","HomePageTest","","HomePageTest","fillingTest[0]","Тест начинок",""
"passed","Sun Jun 04 20:24:56 MSK 2023","Sun Jun 04 20:25:01 MSK 2023","4995","","PersonalAccountTest","","PersonalAccountTest","crossOverStellarBurgersTest[0]","Тест перехода из ЛК  по Stellar Burgers в конструктор ",""
"passed","Sun Jun 04 20:26:16 MSK 2023","Sun Jun 04 20:26:23 MSK 2023","7363","","SingInTest","","SingInTest","singInPersonalAccountPageTest[0]","Тест входа по кнопке в ЛК",""
"passed","Sun Jun 04 20:26:23 MSK 2023","Sun Jun 04 20:26:31 MSK 2023","8207","","SingInTest","","SingInTest","singInRestorePasswordTest[1]","Тест входа по кнопке в форме восстановления пароля",""
"passed","Sun Jun 04 20:26:31 MSK 2023","Sun Jun 04 20:26:40 MSK 2023","8417","","SingInTest","","SingInTest","singInHomePageTest[1]","Тест входа по кнопке «Войти в аккаунт» на главной странице",""
"passed","Sun Jun 04 20:24:50 MSK 2023","Sun Jun 04 20:24:56 MSK 2023","6301","","PersonalAccountTest","","PersonalAccountTest","exitSignInTest[0]","Тест выхода из аккаунта",""
"passed","Sun Jun 04 20:24:13 MSK 2023","Sun Jun 04 20:24:18 MSK 2023","4312","","HomePageTest","","HomePageTest","sauseTest[0]","Тест соусов",""
"passed","Sun Jun 04 20:25:50 MSK 2023","Sun Jun 04 20:25:58 MSK 2023","7310","","RegistrationTest","","RegistrationTest","registrationWithCorrectPassTest[1]","Тест регистрации с корректным паролем",""
"passed","Sun Jun 04 20:26:49 MSK 2023","Sun Jun 04 20:26:58 MSK 2023","8968","","SingInTest","","SingInTest","singInPersonalAccountPageTest[1]","Тест входа по кнопке в ЛК",""
"passed","Sun Jun 04 20:25:43 MSK 2023","Sun Jun 04 20:25:50 MSK 2023","7719","","RegistrationTest","","RegistrationTest","registrationWithErrorPassTest[1]","Тест регистрации c некорректный паролем",""
"passed","Sun Jun 04 20:25:38 MSK 2023","Sun Jun 04 20:25:43 MSK 2023","4583","","RegistrationTest","","RegistrationTest","registrationWithCorrectPassTest[0]","Тест регистрации с корректным паролем",""
"passed","Sun Jun 04 20:26:40 MSK 2023","Sun Jun 04 20:26:49 MSK 2023","9315","","SingInTest","","SingInTest","singInRegistrationPageTest[1]","Тест входа по кнопке в форме регистрации",""
"passed","Sun Jun 04 20:26:03 MSK 2023","Sun Jun 04 20:26:07 MSK 2023","4897","","SingInTest","","SingInTest","singInHomePageTest[0]","Тест входа по кнопке «Войти в аккаунт» на главной странице",""
"passed","Sun Jun 04 20:24:43 MSK 2023","Sun Jun 04 20:24:50 MSK 2023","7225","","HomePageTest","","HomePageTest","fillingTest[1]","Тест начинок",""
"passed","Sun Jun 04 20:25:58 MSK 2023","Sun Jun 04 20:26:03 MSK 2023","4767","","SingInTest","","SingInTest","singInRestorePasswordTest[0]","Тест входа по кнопке в форме восстановления пароля",""
"passed","Sun Jun 04 20:25:19 MSK 2023","Sun Jun 04 20:25:26 MSK 2023","7678","","PersonalAccountTest","","PersonalAccountTest","crossOverStellarBurgersTest[1]","Тест перехода из ЛК  по Stellar Burgers в конструктор ",""
"passed","Sun Jun 04 20:26:07 MSK 2023","Sun Jun 04 20:26:16 MSK 2023","8178","","SingInTest","","SingInTest","singInRegistrationPageTest[0]","Тест входа по кнопке в форме регистрации",""
